0 1 2
0 2 5
0 3 6
0 4 6
0 5 8
0 6 5
0 7 6
0 8 2
0 9 9
0 10 5
0 11 5
1 2 1
1 3 1
1 3 8
1 5 2
1 6 2
1 7 3
1 8 3
1 8 2
1 12 2
1 13 9
1 14 5
1 15 9
1 16 9
1 17 8
1 18 8
2 3 4
2 4 6
2 5 3
2 5 1
2 6 1
2 8 5
2 9 1
2 12 4
2 13 8
2 16 6
2 19 9
2 20 1
2 21 9
2 22 6
2 23 2
2 24 9
2 25 6
2 26 9
2 27 7
2 28 2
2 29 7
2 30 6
3 4 1
3 5 7
3 7 5
3 10 9
3 12 3
3 14 7
3 15 3
3 19 1
3 24 8
3 31 6
3 32 2
3 33 8
3 34 3
3 35 5
4 5 5
4 5 3
4 6 9
4 9 7
4 12 1
4 13 5
4 20 9
4 21 1
4 22 3
4 23 9
4 24 5
4 25 6
4 36 6
4 37 8
4 38 6
4 39 4
5 6 6
5 7 5
5 12 8
5 19 8
5 20 4
5 21 2
5 23 9
5 31 7
5 33 9
5 41 5
5 47 5
5 48 3
5 49 3
6 12 5
6 15 7
6 17 9
6 19 9
6 20 2
6 27 4
6 31 5
6 32 9
6 40 9
6 41 4
6 43 7
6 50 1
6 51 7
6 52 5
7 19 7
7 20 4
7 25 3
7 31 2
7 48 3
7 62 1
8 12 5
8 13 2
8 19 4
8 25 1
8 29 8
8 31 6
8 36 1
8 57 5
8 75 9
9 10 8
9 10 4
9 10 1
9 14 7
9 27 1
9 32 3
9 36 5
9 56 5
9 71 3
10 11 6
10 29 5
10 57 2
10 59 8
10 62 6
10 71 2
11 14 7
11 21 9
11 53 1
11 62 4
12 12 9
12 13 1
12 15 7
12 16 4
12 21 4
12 31 1
12 40 9
12 41 11
12 42 9
12 43 5
12 44 3
12 45 17
12 46 3
13 15 15
13 19 8
13 22 3
13 24 12
13 25 4
13 29 6
13 48 9
13 53 4
14 22 3
14 24 7
14 40 9
14 55 5
14 56 4
14 65 4
15 17 2
15 24 2
15 31 8
15 33 7
15 37 1
15 66 5
16 27 8
16 37 4
16 41 5
16 53 3
16 55 4
16 58 6
16 66 1
16 72 7
17 19 9
17 24 6
17 31 1
17 40 3
17 41 6
17 59 2
18 27 2
18 40 3
18 41 3
18 47 7
18 47 6
18 50 7
18 55 5
18 56 6
19 20 3
19 21 9
19 31 5
19 32 9
19 41 6
19 53 3
19 54 3
20 20 3
20 21 1
20 22 6
20 38 8
20 47 8
20 61 6
21 23 5
21 24 2
21 32 5
21 36 3
21 38 9
21 40 2
21 50 3
21 55 3
22 24 7
22 31 7
22 40 8
22 66 3
22 67 6
23 25 7
23 31 8
23 33 8
23 33 2
23 53 6
23 71 1
24 34 5
24 40 10
24 56 5
25 49 8
25 63 8
25 65 5
25 73 7
26 34 6
26 41 7
26 76 3
27 42 3
27 63 6
27 77 5
27 78 1
27 79 8
28 35 7
28 64 2
28 66 7
28 67 2
30 53 1
30 59 2
30 61 3
30 62 5
30 66 7
30 87 2
31 32 7
31 34 12
31 43 2
31 47 1
31 55 4
31 56 7
31 57 3
31 58 2
31 59 2
31 60 1
32 48 9
32 50 3
32 58 7
32 63 8
32 64 5
33 42 9
33 43 1
33 68 9
33 69 7
33 70 1
34 48 6
34 69 4
36 36 4
36 36 5
36 42 4
36 81 2
37 39 5
37 41 7
37 56 2
37 58 3
38 41 7
38 82 7
39 44 5
39 84 3
39 85 7
40 53 6
40 57 7
41 50 9
42 53 7
42 57 3
42 67 8
42 84 9
43 53 2
43 70 4
43 74 1
45 85 7
46 68 9
47 63 1
48 50 5
48 51 1
48 55 2
49 49 3
49 56 5
49 65 9
49 68 3
50 69 3
50 70 5
52 69 9
52 84 1
53 74 3
55 55 4
55 66 6
55 80 7
56 59 1
56 69 6
56 74 1
57 73 5
57 84 1
58 68 5
58 69 3
59 73 1
61 62 5
61 72 8
61 78 3
63 71 7
63 85 8
63 86 1
65 76 5
65 80 7
66 78 5
67 82 3
68 72 1
68 73 7
68 80 6
69 78 1
69 83 4
72 80 7
75 85 6
80 84 9
88 89 8
